C00076182|27539|2015|1100|1100|1
C00076182|27539|2015|1100|1180|2
C00076182|27539|2015|1100|1220|3
C00076182|28451|2015|80|80|1
C00076182|30548|2015|40|40|1
C00076182|45371|2015|150|150|1
C00076182|45846|2015|40|40|1
C00076182|45873|2015|1200|1200|1
C00076182|45873|2015|1200|3200|2
C00076182|45873|2015|1200|5950|3
C00076182|46321|2015|100|100|1
C00076182|47542|2015|250|250|1
C00076182|47542|2015|250|290|2
C00076182|47542|2015|250|370|3
C00076182|47546|2015|160|160|1
C00076182|47546|2015|160|1160|2
C00076182|47546|2015|160|2160|3
C00076182|49337|2015|300|300|1
C00076182|52773|2015|80|80|1
C00076182|55345|2015|300|300|1
C00076182|56308|2015|200|200|1
C00076182|56714|2015|80|80|1
C00076182|57350|2015|80|80|1
C00076182|72904|2015|1100|1100|1
C00195065|22309|2015|1000|1000|1
C00195065|75201|2015|200|200|1
C00195065|75204|2015|2700|2700|1
C00195065|75205|2015|2700|2700|1
C00195065|75219|2015|2300|2300|1
C00195065|75225|2015|2700|2700|1
C00195065|75225|2015|2700|5400|2
C00195065|75251|2015|0|2300|1
C00195065|75251|2015|0|0|2
C00195065|76012|2015|2600|2600|1
C00195065|76015|2015|2600|2600|1
C00195065|78620|2015|2700|2700|1
C00195065|78750|2015|2700|2700|1
C00258475|20815|2015|500|500|1
C00303305|75204|2015|2700|2700|1
C00303305|75205|2015|5400|2700|1
C00303305|75205|2015|5400|5400|2
C00303305|75205|2015|5400|8100|3
C00303305|75205|2015|5400|10800|4
C00303305|75205|2015|5400|13500|5
C00303305|75205|2015|5400|16200|6
C00303305|75225|2015|2700|2700|1
C00303305|75230|2015|2700|2700|1
C00303305|75230|2015|2700|5400|2
C00307314|20007|2015|100|100|1
C00307314|20007|2015|100|200|2
C00307314|22302|2015|500|500|1
C00313247|01985|2015|2000|2000|1
C00333740|18938|2015|2600|2600|1
C00333740|19012|2015|2200|2200|1
C00333740|19020|2015|300|300|1
C00385773|10024|2015|50|50|1
